Order_ID,Order_Date,Product_ID,Product_Name,Amount,Quantity
71,18/09/2017,71,Binders,4.616,4
72,14/09/2018,72,Paper,19.05,3
73,26/04/2016,73,Chairs,831.936,7
74,26/04/2016,74,Furnishings,97.04,3
75,26/04/2016,75,Storage,72.784,1
76,9/12/2018,76,Binders,1.248,3
77,9/12/2018,77,Furnishings,9.708,9
78,9/12/2018,78,Storage,27.24,4
79,26/11/2015,79,Furnishings,19.3,9
80,12/6/2017,80,Appliances,208.16,6
81,12/6/2017,81,Binders,16.74,8
82,12/10/2015,82,Art,14.9,4
83,12/10/2015,83,Storage,21.39,4
84,3/9/2016,84,Envelopes,200.984,1
85,13/11/2018,85,Storage,230.376,10
86,28/05/2018,86,Chairs,301.96,1
87,26/10/2018,87,Accessories,19.99,2
88,26/10/2018,88,Labels,6.16,2
89,5/4/2017,89,Storage,158.368,9
90,17/09/2017,90,Art,20.1,6
91,17/09/2017,91,Phones,73.584,4
92,17/09/2017,92,Paper,6.48,9
93,31/01/2016,93,Paper,12.96,2
94,31/01/2016,94,Furnishings,53.34,3
95,31/01/2016,95,Binders,32.96,9
96,6/11/2018,96,Binders,5.682,2
97,9/11/2018,97,Furnishings,96.53,1
98,17/06/2018,98,Binders,51.312,9
99,6/9/2017,99,Appliances,77.88,4
100,29/08/2017,100,Paper,64.624,4
101,29/08/2017,101,Accessories,95.976,3
102,29/08/2017,102,Binders,1.788,5
103,1/12/2017,103,Paper,23.92,4
104,13/11/2016,104,Accessories,238.896,6
105,13/11/2016,105,Furnishings,102.36,9
106,13/11/2016,106,Binders,36.882,2
107,23/11/2018,107,Accessories,74.112,7
108,23/11/2018,108,Phones,27.992,3
109,23/11/2018,109,Art,3.304,7
110,15/10/2016,110,Accessories,339.96,9
111,25/12/2018,111,Furnishings,41.96,4
112,3/11/2017,112,Art,75.96,1
113,3/11/2017,113,Binders,27.24,9
114,25/08/2015,114,Fasteners,40.096,8
115,25/08/2015,115,Envelopes,4.72,3
116,25/08/2015,116,Paper,23.976,4
117,25/08/2015,117,Envelopes,130.464,8
118,2/3/2016,118,Tables,787.53,3
119,5/4/2016,119,Binders,157.794,10
120,12/6/2017,120,Furnishings,47.04,9
121,12/6/2017,121,Binders,30.84,5
122,12/6/2017,122,Storage,226.56,8
123,12/6/2017,123,Envelopes,115.02,6
124,12/6/2017,124,Phones,68.04,9
125,26/12/2015,125,Chairs,600.558,7
126,20/09/2015,126,Tables,617.7,8
127,5/11/2018,127,Binders,2.388,8
128,5/11/2018,128,Storage,243.992,9
129,6/11/2017,129,Chairs,81.424,6
130,6/11/2017,130,Furnishings,238.56,3
131,2/2/2018,131,Phones,59.97,1
132,2/2/2018,132,Paper,78.304,4
133,2/2/2018,133,Fasteners,21.456,7
134,13/10/2017,134,Paper,20.04,3
135,13/10/2017,135,Paper,35.44,5
136,13/10/2017,136,Art,11.52,2
137,13/10/2017,137,Fasteners,4.02,3
138,13/10/2017,138,Binders,76.176,3
139,13/10/2017,139,Supplies,65.88,8
140,13/10/2017,140,Furnishings,43.12,5
141,5/9/2017,141,Furnishings,82.8,6
142,18/09/2018,142,Art,8.82,2
143,18/09/2018,143,Envelopes,10.86,10
144,18/09/2018,144,Paper,143.7,6
145,22/12/2018,145,Appliances,839.43,10
146,7/9/2016,146,Storage,671.93,6
147,22/10/2015,147,Furnishings,93.888,5
148,5/12/2017,148,Phones,384.45,7
149,5/12/2017,149,Phones,149.97,2
150,5/12/2017,150,Chairs,1951.84,7
151,5/12/2017,151,Binders,171.55,8
152,13/03/2017,152,Appliances,157.92,5
153,13/03/2017,153,Phones,203.184,1
154,31/05/2016,154,Paper,58.38,9
155,31/05/2016,155,Paper,105.52,9
156,31/05/2016,156,Storage,80.88,1
157,28/05/2016,157,Art,6.63,9
158,1/3/2015,158,Chairs,457.568,7
159,20/11/2017,159,Labels,14.62,8
160,20/11/2017,160,Phones,944.93,9
161,11/5/2017,161,Paper,5.98,5
162,28/12/2016,162,Accessories,54.384,2
163,16/11/2017,163,Envelopes,28.4,7
164,7/11/2017,164,Binders,27.68,10
165,8/9/2015,165,Art,9.936,10
166,8/9/2015,166,Machines,8159.952,7
167,8/9/2015,167,Storage,275.928,9
168,8/9/2015,168,Chairs,1740.06,7
169,8/9/2015,169,Art,32.064,5
170,8/9/2015,170,Appliances,177.98,3
171,8/9/2015,171,Phones,143.976,5
172,5/8/2015,172,Paper,20.94,9
173,5/8/2015,173,Paper,110.96,6
174,5/8/2015,174,Chairs,340.144,5
175,14/09/2015,175,Appliances,52.448,9
176,14/09/2015,176,Labels,20.16,5
177,21/04/2018,177,Appliances,97.264,9
178,21/11/2016,178,Chairs,396.802,7
179,21/11/2016,179,Supplies,15.88,8
180,15/12/2016,180,Art,3.28,4
181,5/12/2015,181,Storage,24.816,10
182,5/12/2015,182,Accessories,408.744,5
183,19/11/2015,183,Phones,503.96,10
184,19/11/2015,184,Phones,149.95,2
185,19/11/2015,185,Accessories,29,1
186,28/11/2017,186,Binders,7.16,7
187,26/08/2015,187,Accessories,176.8,8
188,16/07/2017,188,Storage,37.224,2
189,16/07/2017,189,Paper,20.016,4
190,12/10/2016,190,Bookcases,899.136,2
191,12/10/2016,191,Phones,71.76,6
192,12/10/2016,192,Paper,51.84,3
193,12/10/2016,193,Bookcases,626.352,4
194,12/10/2016,194,Art,19.9,3
195,31/10/2016,195,Envelopes,14.28,6
196,21/03/2015,196,Art,7.408,7
197,21/03/2015,197,Art,6.048,1
198,6/11/2018,198,Storage,46.26,3
199,6/7/2018,199,Binders,2.946,9
200,6/7/2018,200,Paper,,3
